school_name,city_state,district,rank_state_elementary,grade_level,enrollment,student_teacher_ratio,description,source_page,source_raw_school_name
Woodcreek Elementary,"Katy, TX",Katy Independent School District,106.0,PK-5,"1,324",15:1,"Woodcreek Elementary is a  school located in Katy, TX, which is in a large suburb setting.  The student population of Woodcreek Elementary is 1324, and the school serves PK through 5 At Woodcreek Elementary,...",11,WoodcreekElementary
Colony Meadows Elementary,"Sugar Land, TX",Fort Bend Independent School District,107.0,PK-5,638,16:1,"Colony Meadows Elementary is a  school located in Sugar Land, TX, which is in a mid-size city setting.  The student population of Colony Meadows Elementary is 638, and the school serves PK through 5 At...",11,Colony MeadowsElementary
Barksdale Elementary,"Plano, TX",Plano Independent School District,108.0,K-5,546,15:1,"Barksdale Elementary is a  school located in Plano, TX, which is in a large city setting.  The student population of Barksdale Elementary is 546, and the school serves K through 5 At Barksdale Elementary,...",11,BarksdaleElementary
Doss Elementary,"Austin, TX",Austin Independent School District,109.0,PK-5,917,15:1,"Doss Elementary is a  school located in Austin, TX, which is in a large city setting.  The student population of Doss Elementary is 917, and the school serves PK through 5 At Doss Elementary, 80% scored...",11,DossElementary
Glen Oaks Elementary,"McKinney, TX",Mckinney Independent School District,110.0,K-5,511,15:1,"Glen Oaks Elementary is a  school located in McKinney, TX, which is in a large suburb setting.  The student population of Glen Oaks Elementary is 511, and the school serves K through 5 At Glen Oaks Elementary,...",11,Glen OaksElementary
Lakeview Elementary,"Roanoke, TX",Northwest Independent School District,111.0,PK-5,512,14:1,"Lakeview Elementary is a  school located in Roanoke, TX, which is in a large suburb setting.  The student population of Lakeview Elementary is 512, and the school serves PK through 5 At Lakeview Elementary,...",12,LakeviewElementary
Roel A & Celia R Saenz Elementary,"Roma, TX",Roma Independent School District,112.0,PK-5,515,13:1,"Roel A & Celia R Saenz Elementary is a  school located in Roma, TX, which is in a distant town setting.  The student population of Roel A & Celia R Saenz Elementary is 515, and the school serves PK through...",12,Roel A & Celia R SaenzElementary
Taylor Elementary,"Plano, TX",Frisco Independent School District,113.0,K-5,757,16:1,"Taylor Elementary is a  school located in Plano, TX, which is in a large city setting.  The student population of Taylor Elementary is 757, and the school serves K through 5 At Taylor Elementary, 79% scored...",12,TaylorElementary
Mccoy Elementary,"Carrollton, TX",Carrollton-Farmers Branch Independent School District,114.0,K-5,432,13:1,"Mccoy Elementary is a  school located in Carrollton, TX, which is in a large suburb setting.  The student population of Mccoy Elementary is 432, and the school serves K through 5 At Mccoy Elementary, 88%...",12,MccoyElementary
Nebbie Williams Elementary,"Rockwall, TX",Rockwall Independent School District,115.0,PK-6,430,15:1,"Nebbie Williams Elementary is a  school located in Rockwall, TX, which is in a large suburb setting.  The student population of Nebbie Williams Elementary is 430, and the school serves PK through 6 At...",12,Nebbie WilliamsElementary
Farias Elementary,"Laredo, TX",Laredo Independent School District,116.0,PK-5,638,20:1,"Farias Elementary is a  school located in Laredo, TX, which is in a large city setting.  The student population of Farias Elementary is 638, and the school serves PK through 5 At Farias Elementary, 88%...",12,FariasElementary
Laura Welch Bush Elementary,"Austin, TX",Leander Independent School District,117.0,PK-5,503,12:1,"Laura Welch Bush Elementary is a  school located in Austin, TX, which is in a large suburb setting.  The student population of Laura Welch Bush Elementary is 503, and the school serves PK through 5 At...",12,Laura Welch BushElementary
Fred and Patti Shafer Elementary,"Katy, TX",Katy Independent School District,118.0,PK-5,"1,044",14:1,"Fred and Patti Shafer Elementary is a  school located in Katy, TX, which is in a large suburb setting.  The student population of Fred and Patti Shafer Elementary is 1044, and the school serves PK through...",12,Fred and Patti ShaferElementary
Creekview Elementary,"The Woodlands, TX",Tomball Independent School District,119.0,PK-5,911,16:1,"Creekview Elementary is a  school located in The Woodlands, TX, which is in a mid-size city setting.  The student population of Creekview Elementary is 911, and the school serves PK through 5 At Creekview...",12,CreekviewElementary
Susanna Dickinson Elementary,"Sugar Land, TX",,120.0,PK-5,563,18:1,"Susanna Dickinson Elementary is a  school located in Sugar Land, TX, which is in a mid-size city setting.  The student population of Susanna Dickinson Elementary is 563, and the school serves PK through...",12,Susanna DickinsonElementary
Don Whitt Elementary,"Sachse, TX",Wylie Independent School District,121.0,PK-4,769,14:1,"Don Whitt Elementary is a  school located in Sachse, TX, which is in a large suburb setting.  The student population of Don Whitt Elementary is 769, and the school serves PK through 4 At Don Whitt Elementary,...",13,Don WhittElementary
Tanglewood Elementary,"Fort Worth, TX",Fort Worth Independent School District,122.0,PK-5,554,17:1,"Tanglewood Elementary is a  school located in Fort Worth, TX, which is in a large city setting.  The student population of Tanglewood Elementary is 554, and the school serves PK through 5 At Tanglewood...",13,TanglewoodElementary
Frostwood Elementary,"Houston, TX",Spring Branch Independent School District,123.0,PK-5,836,17:1,"Frostwood Elementary is a  school located in Houston, TX, which is in a large suburb setting.  The student population of Frostwood Elementary is 836, and the school serves PK through 5 At Frostwood Elementary,...",13,FrostwoodElementary
Joe V Hart Elementary,"Lucas, TX",Lovejoy Independent School District,124.0,K-4,533,14:1,"Joe V Hart Elementary is a  school located in Lucas, TX, which is in a large suburb setting.  The student population of Joe V Hart Elementary is 533, and the school serves K through 4 At Joe V Hart Elementary,...",13,Joe V HartElementary
Timber Creek Elementary,"The Woodlands, TX",Tomball Independent School District,125.0,PK-5,967,16:1,"Timber Creek Elementary is a  school located in The Woodlands, TX, which is in a mid-size city setting.  The student population of Timber Creek Elementary is 967, and the school serves PK through 5 At...",13,Timber CreekElementary
Industrial Elementary West,"Inez, TX",Industrial Independent School District,126.0,PK-5,275,13:1,"Industrial Elementary West is a  school located in Inez, TX, which is in a distant rural setting.  The student population of Industrial Elementary West is 275, and the school serves PK through 5 At Industrial...",13,Industrial ElementaryWest
Falls City Elementary,"Falls City, TX",Falls City Independent School District,127.0,PK-6,249,14:1,"Falls City Elementary is a  school located in Falls City, TX, which is in a remote rural setting.  The student population of Falls City Elementary is 249, and the school serves PK through 6 At Falls City...",13,Falls CityElementary
Field Elementary,"Houston, TX",Houston Independent School District,128.0,PK-5,464,18:1,"Field Elementary is a  school located in Houston, TX, which is in a large city setting.  The student population of Field Elementary is 464, and the school serves PK through 5 At Field Elementary, 77% scored...",13,FieldElementary
Warner Elementary,"Cypress, TX",Cypress-Fairbanks Independent School District,129.0,PK-5,"1,193",18:1,"Warner Elementary is a  school located in Cypress, TX, which is in a large suburb setting.  The student population of Warner Elementary is 1193, and the school serves PK through 5 At Warner Elementary,...",13,WarnerElementary
Rita Smith Elementary,"Wylie, TX",Wylie Independent School District,130.0,PK-4,606,14:1,"Rita Smith Elementary is a  school located in Wylie, TX, which is in a large suburb setting.  The student population of Rita Smith Elementary is 606, and the school serves PK through 4 At Rita Smith Elementary,...",13,Rita SmithElementary
Glenn York Elementary,"Pearland, TX",Alvin Independent School District,131.0,PK-5,802,17:1,"Glenn York Elementary is a  school located in Pearland, TX, which is in a large suburb setting.  The student population of Glenn York Elementary is 802, and the school serves PK through 5 At Glenn York...",14,Glenn YorkElementary
Archer City Elementary,"Archer City, TX",Archer City Independent School District,132.0,PK-6,290,14:1,"Archer City Elementary is a  school located in Archer City, TX, which is in a distant rural setting.  The student population of Archer City Elementary is 290, and the school serves PK through 6 At Archer...",14,Archer CityElementary
George West Pri,"George West, TX",George West Independent School District,133.0,PK-3,404,18:1,"George West Pri is a  school located in George West, TX, which is in a remote rural setting.  The student population of George West Pri is 404, and the school serves PK through 3 At George West Pri, 82%...",14,George WestPri
Don T Durham Int,"Southlake, TX",Carroll Independent School District,134.0,5-6,665,17:1,"Don T Durham Int is a  school located in Southlake, TX, which is in a large suburb setting.  The student population of Don T Durham Int is 665, and the school serves 5 through 6 At Don T Durham Int, 85%...",14,Don T DurhamInt
Newman Elementary,"Frisco, TX",Frisco Independent School District,135.0,PK-5,661,16:1,"Newman Elementary is a  school located in Frisco, TX, which is in a large suburb setting.  The student population of Newman Elementary is 661, and the school serves PK through 5 At Newman Elementary, 80%...",14,NewmanElementary
Windsong Elementary,"Friendswood, TX",Friendswood Independent School District,136.0,PK-5,657,16:1,"Windsong Elementary is a  school located in Friendswood, TX, which is in a large suburb setting.  The student population of Windsong Elementary is 657, and the school serves PK through 5 At Windsong Elementary,...",14,WindsongElementary
Vega Elementary,"Vega, TX",Vega Independent School District,137.0,PK-4,135,13:1,"Vega Elementary is a  school located in Vega, TX, which is in a remote rural setting.  The student population of Vega Elementary is 135, and the school serves PK through 4 At Vega Elementary, 75% scored...",14,VegaElementary
Hunters Creek Elementary,"Houston, TX",Spring Branch Independent School District,138.0,PK-5,611,18:1,"Hunters Creek Elementary is a  school located in Houston, TX, which is in a large suburb setting.  The student population of Hunters Creek Elementary is 611, and the school serves PK through 5 At Hunters...",14,Hunters CreekElementary
